Tiempo,VoltajeCH1,ResolucionVCH1
-1.56e-05,0.0,0.004
-1.558e-05,0.0,0.004
-1.556e-05,0.0,0.004
-1.554e-05,0.004,0.004
-1.552e-05,0.0,0.004
-1.55e-05,0.0,0.004
-1.548e-05,0.0,0.004
-1.546e-05,0.0,0.004
-1.544e-05,0.0,0.004
-1.5419999999999998e-05,0.0,0.004
-1.5399999999999998e-05,0.0,0.004
-1.538e-05,-0.004,0.004
-1.536e-05,0.004,0.004
-1.534e-05,0.004,0.004
-1.532e-05,0.004,0.004
-1.53e-05,0.0,0.004
-1.528e-05,0.004,0.004
-1.526e-05,0.008,0.004
-1.524e-05,0.008,0.004
-1.522e-05,0.0,0.004
-1.52e-05,0.0,0.004
-1.518e-05,0.0,0.004
-1.516e-05,0.0,0.004
-1.5139999999999999e-05,0.0,0.004
-1.512e-05,0.004,0.004
-1.51e-05,-0.004,0.004
-1.508e-05,0.0,0.004
-1.506e-05,-0.004,0.004
-1.504e-05,0.004,0.004
-1.502e-05,0.0,0.004
-1.5e-05,0.008,0.004
-1.4979999999999999e-05,0.0,0.004
-1.4959999999999999e-05,0.004,0.004
-1.494e-05,0.0,0.004
-1.492e-05,0.0,0.004
-1.49e-05,0.0,0.004
-1.488e-05,0.0,0.004
-1.486e-05,0.004,0.004
-1.484e-05,0.0,0.004
-1.482e-05,-0.004,0.004
-1.48e-05,0.0,0.004
-1.4779999999999999e-05,0.004,0.004
-1.476e-05,0.0,0.004
-1.474e-05,0.004,0.004
-1.472e-05,0.0,0.004
-1.47e-05,0.0,0.004
-1.468e-05,-0.004,0.004
-1.466e-05,0.004,0.004
-1.4639999999999999e-05,-0.004,0.004
-1.4619999999999999e-05,-0.004,0.004
-1.4599999999999999e-05,0.004,0.004
-1.458e-05,0.008,0.004
-1.456e-05,0.0,0.004
-1.454e-05,0.004,0.004
-1.452e-05,-0.004,0.004
-1.45e-05,0.0,0.004
-1.448e-05,0.004,0.004
-1.446e-05,0.0,0.004
-1.4439999999999999e-05,-0.004,0.004
-1.442e-05,0.0,0.004
-1.44e-05,0.004,0.004
-1.438e-05,0.004,0.004
-1.436e-05,0.008,0.004
-1.434e-05,-0.004,0.004
-1.432e-05,0.008,0.004
-1.43e-05,0.0,0.004
-1.4279999999999999e-05,0.004,0.004
-1.4259999999999999e-05,0.004,0.004
-1.424e-05,0.0,0.004
-1.422e-05,0.0,0.004
-1.42e-05,0.004,0.004
-1.418e-05,0.0,0.004
-1.416e-05,0.0,0.004
-1.414e-05,-0.004,0.004
-1.412e-05,0.008,0.004
-1.41e-05,0.0,0.004
-1.4079999999999999e-05,0.0,0.004
-1.406e-05,-0.004,0.004
-1.404e-05,0.004,0.004
-1.402e-05,-0.008,0.004
-1.4e-05,0.0,0.004
-1.398e-05,0.0,0.004
-1.396e-05,0.0,0.004
-1.394e-05,0.004,0.004
-1.3919999999999999e-05,0.0,0.004
-1.3899999999999999e-05,0.004,0.004
-1.388e-05,0.004,0.004
-1.386e-05,0.0,0.004
-1.384e-05,0.004,0.004
-1.382e-05,-0.004,0.004
-1.38e-05,0.0,0.004
-1.378e-05,0.0,0.004
-1.376e-05,0.004,0.004
-1.374e-05,0.0,0.004
-1.3719999999999999e-05,0.004,0.004
-1.37e-05,0.0,0.004
-1.368e-05,0.0,0.004
-1.366e-05,-0.004,0.004
-1.364e-05,0.0,0.004
-1.362e-05,0.004,0.004
-1.36e-05,0.0,0.004
-1.3579999999999999e-05,0.0,0.004
-1.3559999999999999e-05,0.004,0.004
-1.3539999999999999e-05,0.0,0.004
-1.352e-05,-0.004,0.004
-1.35e-05,0.0,0.004
-1.348e-05,0.0,0.004
-1.346e-05,0.0,0.004
-1.344e-05,0.0,0.004
-1.342e-05,0.0,0.004
-1.34e-05,0.0,0.004
-1.338e-05,0.004,0.004
-1.3359999999999999e-05,0.004,0.004
-1.334e-05,0.0,0.004
-1.332e-05,0.0,0.004
-1.33e-05,0.004,0.004
-1.328e-05,0.0,0.004
-1.326e-05,0.0,0.004
-1.324e-05,0.004,0.004
-1.3219999999999999e-05,0.004,0.004
-1.3199999999999999e-05,-0.004,0.004
-1.318e-05,0.004,0.004
-1.316e-05,0.004,0.004
-1.314e-05,0.004,0.004
-1.312e-05,-0.004,0.004
-1.31e-05,0.004,0.004
-1.308e-05,-0.004,0.004
-1.306e-05,0.0,0.004
-1.304e-05,-0.004,0.004
-1.302e-05,0.004,0.004
-1.3e-05,0.0,0.004
-1.298e-05,0.008,0.004
-1.296e-05,0.0,0.004
-1.294e-05,-0.004,0.004
-1.292e-05,0.004,0.004
-1.29e-05,0.0,0.004
-1.2879999999999999e-05,0.008,0.004
-1.2859999999999999e-05,0.0,0.004
-1.2839999999999999e-05,-0.004,0.004
-1.282e-05,0.004,0.004
-1.28e-05,0.004,0.004
-1.278e-05,0.0,0.004
-1.276e-05,0.0,0.004
-1.274e-05,0.0,0.004
-1.272e-05,0.0,0.004
-1.27e-05,0.0,0.004
-1.268e-05,0.004,0.004
-1.2659999999999999e-05,-0.004,0.004
-1.264e-05,0.0,0.004
-1.262e-05,0.0,0.004
-1.26e-05,0.004,0.004
-1.258e-05,0.004,0.004
-1.256e-05,0.0,0.004
-1.254e-05,-0.004,0.004
-1.2519999999999999e-05,0.004,0.004
-1.2499999999999999e-05,0.004,0.004
-1.2479999999999999e-05,0.004,0.004
-1.246e-05,0.0,0.004
-1.244e-05,0.0,0.004
-1.242e-05,0.004,0.004
-1.24e-05,0.004,0.004
-1.238e-05,0.004,0.004
-1.236e-05,-0.004,0.004
-1.234e-05,0.004,0.004
-1.232e-05,0.004,0.004
-1.2299999999999999e-05,0.004,0.004
-1.228e-05,0.004,0.004
-1.226e-05,0.004,0.004
-1.224e-05,0.004,0.004
-1.222e-05,-0.004,0.004
-1.22e-05,0.0,0.004
-1.218e-05,0.004,0.004
-1.2159999999999999e-05,-0.004,0.004
-1.2139999999999999e-05,0.004,0.004
-1.212e-05,-0.004,0.004
-1.21e-05,0.0,0.004
-1.208e-05,0.0,0.004
-1.206e-05,0.004,0.004
-1.204e-05,0.0,0.004
-1.202e-05,0.0,0.004
-1.2e-05,0.004,0.004
-1.198e-05,0.004,0.004
-1.196e-05,0.004,0.004
-1.194e-05,0.004,0.004
-1.192e-05,0.0,0.004
-1.19e-05,0.004,0.004
-1.188e-05,0.0,0.004
-1.186e-05,0.004,0.004
-1.184e-05,-0.004,0.004
-1.1819999999999999e-05,-0.004,0.004
-1.1799999999999999e-05,0.0,0.004
-1.1779999999999999e-05,0.004,0.004
-1.176e-05,0.004,0.004
-1.174e-05,0.004,0.004
-1.172e-05,-0.004,0.004
-1.17e-05,-0.004,0.004
-1.168e-05,-0.004,0.004
-1.166e-05,0.0,0.004
-1.164e-05,0.0,0.004
-1.162e-05,0.0,0.004
-1.16e-05,0.0,0.004
-1.158e-05,0.004,0.004
-1.156e-05,0.004,0.004
-1.154e-05,0.0,0.004
-1.152e-05,0.004,0.004
-1.15e-05,0.0,0.004
-1.1479999999999999e-05,0.0,0.004
-1.1459999999999999e-05,0.004,0.004
-1.1439999999999999e-05,0.004,0.004
-1.1419999999999999e-05,0.0,0.004
-1.14e-05,0.0,0.004
-1.138e-05,0.0,0.004
-1.136e-05,0.004,0.004
-1.134e-05,0.004,0.004
-1.132e-05,0.0,0.004
-1.13e-05,0.008,0.004
-1.128e-05,0.004,0.004
-1.126e-05,0.004,0.004
-1.124e-05,0.0,0.004
-1.122e-05,0.0,0.004
-1.12e-05,0.0,0.004
-1.118e-05,0.008,0.004
-1.116e-05,0.0,0.004
-1.1139999999999998e-05,-0.004,0.004
-1.1119999999999999e-05,0.0,0.004
-1.1099999999999999e-05,-0.004,0.004
-1.1079999999999999e-05,0.0,0.004
-1.1059999999999999e-05,0.0,0.004
-1.104e-05,0.004,0.004
-1.102e-05,0.0,0.004
-1.1e-05,0.004,0.004
-1.098e-05,0.0,0.004
-1.096e-05,0.0,0.004
-1.094e-05,0.0,0.004
-1.092e-05,0.004,0.004
-1.09e-05,0.004,0.004
-1.0880000000000001e-05,0.0,0.004
-1.086e-05,0.004,0.004
-1.084e-05,0.004,0.004
-1.082e-05,0.004,0.004
-1.08e-05,0.004,0.004
-1.0779999999999998e-05,0.004,0.004
-1.0759999999999999e-05,0.0,0.004
-1.0739999999999999e-05,0.0,0.004
-1.0719999999999999e-05,0.004,0.004
-1.07e-05,0.004,0.004
-1.068e-05,0.004,0.004
-1.066e-05,0.0,0.004
-1.064e-05,0.004,0.004
-1.062e-05,0.004,0.004
-1.06e-05,0.004,0.004
-1.058e-05,0.004,0.004
-1.056e-05,-0.004,0.004
-1.054e-05,0.0,0.004
-1.052e-05,0.004,0.004
-1.05e-05,0.0,0.004
