Tiempo,VoltajeCH1,ResolucionVCH1
-1.052e-06,0.0,0.002
-1.051e-06,0.002,0.002
-1.0500000000000001e-06,0.002,0.002
-1.049e-06,0.002,0.002
-1.048e-06,0.004,0.002
-1.047e-06,0.002,0.002
-1.046e-06,0.004,0.002
-1.045e-06,0.004,0.002
-1.044e-06,0.004,0.002
-1.043e-06,0.004,0.002
-1.0420000000000001e-06,0.002,0.002
-1.041e-06,0.006,0.002
-1.04e-06,0.004,0.002
-1.0390000000000001e-06,0.004,0.002
-1.038e-06,0.006,0.002
-1.037e-06,0.006,0.002
-1.0360000000000001e-06,0.004,0.002
-1.035e-06,0.004,0.002
-1.034e-06,0.004,0.002
-1.033e-06,0.004,0.002
-1.032e-06,0.002,0.002
-1.031e-06,0.004,0.002
-1.03e-06,0.002,0.002
-1.029e-06,0.004,0.002
-1.0280000000000002e-06,0.002,0.002
-1.027e-06,0.004,0.002
-1.026e-06,0.002,0.002
-1.0250000000000001e-06,0.002,0.002
-1.024e-06,0.004,0.002
-1.023e-06,0.004,0.002
-1.0220000000000001e-06,0.004,0.002
-1.021e-06,0.004,0.002
-1.02e-06,0.002,0.002
-1.0190000000000001e-06,0.002,0.002
-1.018e-06,0.0,0.002
-1.017e-06,0.002,0.002
-1.016e-06,0.004,0.002
-1.015e-06,0.004,0.002
-1.014e-06,0.004,0.002
-1.013e-06,0.004,0.002
-1.012e-06,0.004,0.002
-1.0110000000000001e-06,0.004,0.002
-1.01e-06,0.002,0.002
-1.009e-06,0.004,0.002
-1.0080000000000001e-06,0.002,0.002
-1.007e-06,0.002,0.002
-1.006e-06,0.002,0.002
-1.0050000000000001e-06,0.004,0.002
-1.004e-06,0.002,0.002
-1.003e-06,0.002,0.002
-1.002e-06,0.004,0.002
-1.001e-06,0.002,0.002
-1e-06,0.004,0.002
-9.99e-07,0.002,0.002
-9.98e-07,0.002,0.002
-9.97e-07,0.002,0.002
-9.96e-07,0.004,0.002
-9.95e-07,0.004,0.002
-9.940000000000001e-07,0.004,0.002
-9.93e-07,0.004,0.002
-9.92e-07,0.0,0.002
-9.910000000000001e-07,0.0,0.002
-9.9e-07,0.002,0.002
-9.89e-07,0.006,0.002
-9.880000000000001e-07,0.002,0.002
-9.87e-07,0.002,0.002
-9.86e-07,0.004,0.002
-9.85e-07,0.002,0.002
-9.84e-07,0.006,0.002
-9.83e-07,0.002,0.002
-9.82e-07,0.004,0.002
-9.81e-07,0.004,0.002
-9.8e-07,0.004,0.002
-9.79e-07,0.004,0.002
-9.78e-07,0.004,0.002
-9.770000000000001e-07,0.002,0.002
-9.76e-07,0.002,0.002
-9.75e-07,0.0,0.002
-9.740000000000001e-07,0.002,0.002
-9.73e-07,0.002,0.002
-9.72e-07,0.004,0.002
-9.71e-07,0.004,0.002
-9.7e-07,0.0,0.002
-9.69e-07,0.002,0.002
-9.68e-07,0.004,0.002
-9.67e-07,0.002,0.002
-9.660000000000002e-07,0.002,0.002
-9.65e-07,0.004,0.002
-9.64e-07,0.0,0.002
-9.630000000000001e-07,0.002,0.002
-9.62e-07,0.004,0.002
-9.61e-07,0.004,0.002
-9.600000000000001e-07,0.004,0.002
-9.59e-07,0.002,0.002
-9.58e-07,0.006,0.002
-9.570000000000001e-07,0.004,0.002
-9.56e-07,0.004,0.002
-9.55e-07,0.006,0.002
-9.54e-07,0.004,0.002
-9.53e-07,0.004,0.002
-9.520000000000001e-07,0.002,0.002
-9.510000000000001e-07,0.0,0.002
-9.5e-07,0.002,0.002
