Tiempo,VoltajeCH1,ResolucionVCH1
-6.5e-05,-0.002,0.002
-6.489999999999999e-05,-0.004,0.002
-6.479999999999999e-05,0.002,0.002
-6.47e-05,0.0,0.002
-6.46e-05,0.0,0.002
-6.45e-05,-0.002,0.002
-6.44e-05,-0.002,0.002
-6.429999999999999e-05,0.0,0.002
-6.419999999999999e-05,-0.002,0.002
-6.41e-05,0.0,0.002
-6.4e-05,-0.002,0.002
-6.39e-05,0.0,0.002
-6.379999999999999e-05,0.002,0.002
-6.369999999999999e-05,0.002,0.002
-6.36e-05,-0.002,0.002
-6.35e-05,0.0,0.002
-6.34e-05,0.002,0.002
-6.33e-05,-0.002,0.002
-6.319999999999999e-05,0.0,0.002
-6.309999999999999e-05,-0.002,0.002
-6.3e-05,0.0,0.002
-6.29e-05,0.0,0.002
-6.28e-05,-0.002,0.002
-6.269999999999999e-05,0.0,0.002
-6.259999999999999e-05,-0.002,0.002
-6.25e-05,-0.004,0.002
-6.24e-05,0.0,0.002
-6.23e-05,-0.002,0.002
-6.22e-05,0.0,0.002
-6.209999999999999e-05,0.0,0.002
-6.199999999999999e-05,0.0,0.002
-6.19e-05,0.0,0.002
-6.18e-05,0.0,0.002
-6.17e-05,0.0,0.002
-6.159999999999999e-05,0.002,0.002
-6.149999999999999e-05,0.0,0.002
-6.139999999999999e-05,0.0,0.002
-6.13e-05,0.0,0.002
-6.12e-05,-0.002,0.002
-6.11e-05,0.002,0.002
-6.099999999999999e-05,0.002,0.002
-6.0899999999999996e-05,0.0,0.002
-6.0799999999999994e-05,0.0,0.002
-6.07e-05,0.0,0.002
-6.0599999999999996e-05,0.0,0.002
-6.049999999999999e-05,-0.002,0.002
-6.039999999999999e-05,0.0,0.002
-6.0299999999999995e-05,0.0,0.002
-6.019999999999999e-05,-0.002,0.002
-6.01e-05,-0.002,0.002
-5.9999999999999995e-05,0.0,0.002
-5.989999999999999e-05,-0.002,0.002
-5.98e-05,0.002,0.002
-5.9699999999999994e-05,0.002,0.002
-5.959999999999999e-05,-0.002,0.002
-5.9499999999999996e-05,0.0,0.002
-5.9399999999999994e-05,0.002,0.002
-5.929999999999999e-05,0.002,0.002
-5.9199999999999996e-05,0.0,0.002
-5.909999999999999e-05,0.002,0.002
-5.9e-05,0.0,0.002
-5.8899999999999995e-05,0.0,0.002
-5.879999999999999e-05,0.0,0.002
-5.87e-05,-0.002,0.002
-5.8599999999999995e-05,-0.002,0.002
-5.849999999999999e-05,-0.002,0.002
-5.8399999999999997e-05,0.0,0.002
-5.8299999999999994e-05,0.0,0.002
-5.819999999999999e-05,-0.002,0.002
-5.8099999999999996e-05,0.0,0.002
-5.7999999999999994e-05,0.0,0.002
-5.79e-05,0.002,0.002
-5.7799999999999995e-05,0.002,0.002
-5.769999999999999e-05,-0.002,0.002
-5.76e-05,0.002,0.002
-5.7499999999999995e-05,0.0,0.002
-5.739999999999999e-05,-0.002,0.002
-5.73e-05,-0.002,0.002
-5.7199999999999994e-05,-0.002,0.002
-5.709999999999999e-05,-0.002,0.002
-5.6999999999999996e-05,0.0,0.002
-5.6899999999999994e-05,-0.004,0.002
-5.68e-05,0.0,0.002
-5.6699999999999996e-05,-0.004,0.002
-5.6599999999999993e-05,0.0,0.002
-5.649999999999999e-05,0.002,0.002
-5.6399999999999995e-05,0.0,0.002
-5.629999999999999e-05,0.002,0.002
-5.62e-05,-0.002,0.002
-5.6099999999999995e-05,-0.002,0.002
-5.599999999999999e-05,0.0,0.002
-5.59e-05,0.0,0.002
-5.5799999999999994e-05,0.0,0.002
-5.57e-05,0.0,0.002
-5.5599999999999996e-05,-0.002,0.002
-5.5499999999999994e-05,-0.002,0.002
-5.539999999999999e-05,-0.002,0.002
-5.5299999999999996e-05,-0.002,0.002
-5.519999999999999e-05,-0.004,0.002
-5.51e-05,0.0,0.002
-5.4999999999999995e-05,-0.002,0.002
-5.489999999999999e-05,0.0,0.002
-5.48e-05,0.0,0.002
-5.4699999999999995e-05,0.002,0.002
-5.46e-05,-0.002,0.002
-5.4499999999999997e-05,-0.004,0.002
-5.4399999999999994e-05,-0.002,0.002
-5.429999999999999e-05,-0.002,0.002
-5.4199999999999996e-05,-0.002,0.002
-5.4099999999999994e-05,-0.004,0.002
-5.4e-05,0.002,0.002
-5.3899999999999996e-05,0.0,0.002
-5.379999999999999e-05,0.0,0.002
-5.369999999999999e-05,-0.002,0.002
-5.3599999999999995e-05,-0.002,0.002
-5.349999999999999e-05,0.0,0.002
-5.34e-05,0.0,0.002
-5.3299999999999995e-05,0.0,0.002
-5.319999999999999e-05,0.0,0.002
-5.3099999999999996e-05,0.0,0.002
-5.2999999999999994e-05,0.0,0.002
-5.29e-05,-0.002,0.002
-5.2799999999999996e-05,-0.002,0.002
-5.2699999999999993e-05,0.0,0.002
-5.259999999999999e-05,0.0,0.002
-5.2499999999999995e-05,0.0,0.002
-5.239999999999999e-05,-0.004,0.002
-5.23e-05,-0.002,0.002
-5.2199999999999995e-05,-0.002,0.002
-5.209999999999999e-05,-0.002,0.002
-5.2e-05,0.0,0.002
-5.1899999999999994e-05,0.002,0.002
-5.18e-05,0.0,0.002
-5.1699999999999996e-05,0.0,0.002
-5.1599999999999994e-05,0.0,0.002
-5.149999999999999e-05,0.0,0.002
-5.1399999999999996e-05,0.0,0.002
-5.129999999999999e-05,-0.002,0.002
-5.12e-05,0.002,0.002
-5.1099999999999995e-05,-0.002,0.002
-5.099999999999999e-05,0.002,0.002
-5.09e-05,0.002,0.002
-5.0799999999999995e-05,0.0,0.002
-5.07e-05,0.0,0.002
-5.06e-05,-0.002,0.002
-5.0499999999999994e-05,0.0,0.002
-5.039999999999999e-05,-0.002,0.002
-5.0299999999999996e-05,0.0,0.002
-5.0199999999999994e-05,0.0,0.002
-5.01e-05,0.0,0.002
-4.9999999999999996e-05,0.0,0.002
-4.989999999999999e-05,0.0,0.002
-4.979999999999999e-05,0.002,0.002
-4.9699999999999995e-05,-0.002,0.002
-4.96e-05,0.004,0.002
-4.95e-05,0.0,0.002
-4.9399999999999995e-05,0.002,0.002
-4.929999999999999e-05,0.0,0.002
-4.9199999999999997e-05,0.002,0.002
-4.9099999999999994e-05,0.0,0.002
-4.9e-05,0.0,0.002
-4.8899999999999996e-05,0.002,0.002
-4.8799999999999994e-05,-0.002,0.002
-4.869999999999999e-05,-0.002,0.002
-4.8599999999999995e-05,0.0,0.002
-4.85e-05,-0.002,0.002
-4.84e-05,-0.002,0.002
-4.8299999999999995e-05,0.0,0.002
-4.819999999999999e-05,-0.002,0.002
-4.809999999999999e-05,0.0,0.002
-4.7999999999999994e-05,0.0,0.002
-4.79e-05,0.002,0.002
-4.7799999999999996e-05,0.002,0.002
-4.7699999999999994e-05,0.0,0.002
-4.759999999999999e-05,0.0,0.002
-4.7499999999999996e-05,0.0,0.002
-4.7399999999999993e-05,-0.002,0.002
-4.73e-05,-0.002,0.002
-4.7199999999999995e-05,0.002,0.002
-4.709999999999999e-05,-0.002,0.002
-4.699999999999999e-05,-0.002,0.002
-4.6899999999999995e-05,0.0,0.002
-4.68e-05,-0.002,0.002
-4.67e-05,0.002,0.002
-4.6599999999999994e-05,0.0,0.002
-4.649999999999999e-05,0.002,0.002
-4.6399999999999996e-05,0.0,0.002
-4.6299999999999994e-05,-0.002,0.002
-4.62e-05,0.0,0.002
-4.6099999999999996e-05,-0.002,0.002
-4.599999999999999e-05,-0.002,0.002
-4.589999999999999e-05,0.002,0.002
-4.5799999999999995e-05,0.002,0.002
-4.57e-05,0.0,0.002
-4.56e-05,-0.002,0.002
-4.5499999999999995e-05,0.0,0.002
-4.539999999999999e-05,-0.002,0.002
-4.5299999999999997e-05,0.0,0.002
-4.5199999999999994e-05,-0.006,0.002
-4.51e-05,0.0,0.002
-4.4999999999999996e-05,0.002,0.002
-4.4899999999999994e-05,0.0,0.002
-4.479999999999999e-05,0.0,0.002
-4.4699999999999996e-05,-0.002,0.002
-4.46e-05,0.0,0.002
-4.45e-05,-0.004,0.002
-4.4399999999999995e-05,0.002,0.002
-4.429999999999999e-05,0.0,0.002
-4.42e-05,0.0,0.002
-4.4099999999999995e-05,-0.002,0.002
-4.4e-05,0.0,0.002
-4.3899999999999996e-05,0.002,0.002
-4.3799999999999994e-05,-0.002,0.002
-4.369999999999999e-05,0.002,0.002
-4.3599999999999996e-05,-0.002,0.002
-4.35e-05,0.0,0.002
-4.34e-05,0.0,0.002
-4.3299999999999995e-05,0.002,0.002
-4.319999999999999e-05,0.0,0.002
-4.309999999999999e-05,0.002,0.002
-4.2999999999999995e-05,0.0,0.002
-4.29e-05,-0.002,0.002
-4.28e-05,0.002,0.002
-4.2699999999999994e-05,0.0,0.002
-4.259999999999999e-05,-0.002,0.002
-4.2499999999999996e-05,-0.002,0.002
-4.2399999999999994e-05,0.0,0.002
-4.23e-05,-0.002,0.002
-4.2199999999999996e-05,-0.002,0.002
-4.209999999999999e-05,-0.002,0.002
-4.199999999999999e-05,0.0,0.002
-4.1899999999999995e-05,0.0,0.002
-4.18e-05,-0.002,0.002
-4.17e-05,0.0,0.002
-4.1599999999999995e-05,0.0,0.002
-4.149999999999999e-05,0.002,0.002
-4.14e-05,-0.002,0.002
-4.1299999999999994e-05,0.0,0.002
-4.12e-05,0.002,0.002
-4.1099999999999996e-05,0.0,0.002
-4.0999999999999994e-05,0.0,0.002
-4.089999999999999e-05,0.0,0.002
-4.0799999999999996e-05,0.002,0.002
-4.07e-05,0.0,0.002
-4.06e-05,0.002,0.002
-4.0499999999999995e-05,-0.002,0.002
-4.039999999999999e-05,0.0,0.002
-4.03e-05,0.0,0.002
-4.0199999999999995e-05,0.0,0.002
-4.01e-05,0.0,0.002
-3.9999999999999996e-05,0.002,0.002
-3.9899999999999994e-05,0.002,0.002
-3.979999999999999e-05,-0.002,0.002
-3.9699999999999996e-05,0.002,0.002
-3.96e-05,0.002,0.002
-3.95e-05,0.0,0.002
-3.9399999999999995e-05,0.0,0.002
-3.929999999999999e-05,0.002,0.002
-3.919999999999999e-05,0.0,0.002
-3.9099999999999995e-05,0.0,0.002
-3.9e-05,0.0,0.002
-3.89e-05,0.0,0.002
-3.8799999999999994e-05,-0.002,0.002
-3.869999999999999e-05,0.0,0.002
-3.8599999999999996e-05,-0.002,0.002
-3.8499999999999994e-05,0.0,0.002
-3.84e-05,0.0,0.002
-3.8299999999999996e-05,-0.002,0.002
-3.8199999999999993e-05,-0.002,0.002
-3.809999999999999e-05,0.0,0.002
-3.7999999999999995e-05,0.002,0.002
-3.79e-05,0.002,0.002
-3.78e-05,0.0,0.002
-3.7699999999999995e-05,0.0,0.002
-3.759999999999999e-05,-0.002,0.002
-3.75e-05,0.0,0.002
-3.7399999999999994e-05,-0.004,0.002
-3.73e-05,0.0,0.002
-3.7199999999999996e-05,-0.002,0.002
-3.7099999999999994e-05,-0.002,0.002
-3.699999999999999e-05,-0.002,0.002
-3.6899999999999996e-05,-0.002,0.002
-3.68e-05,0.0,0.002
-3.67e-05,0.002,0.002
-3.6599999999999995e-05,0.002,0.002
-3.649999999999999e-05,0.0,0.002
-3.64e-05,0.0,0.002
-3.6299999999999995e-05,-0.002,0.002
-3.62e-05,0.002,0.002
-3.6099999999999997e-05,-0.002,0.002
-3.5999999999999994e-05,0.0,0.002
-3.589999999999999e-05,-0.002,0.002
-3.5799999999999996e-05,-0.002,0.002
-3.57e-05,-0.002,0.002
-3.56e-05,0.0,0.002
-3.5499999999999996e-05,0.0,0.002
-3.539999999999999e-05,-0.002,0.002
-3.529999999999999e-05,-0.002,0.002
-3.5199999999999995e-05,-0.002,0.002
-3.51e-05,0.0,0.002
-3.5e-05,0.0,0.002
-3.4899999999999995e-05,0.002,0.002
-3.479999999999999e-05,-0.002,0.002
-3.4699999999999996e-05,-0.004,0.002
-3.4599999999999994e-05,0.0,0.002
-3.45e-05,-0.002,0.002
-3.4399999999999996e-05,-0.002,0.002
-3.4299999999999993e-05,0.0,0.002
-3.42e-05,0.0,0.002
-3.4099999999999995e-05,0.002,0.002
-3.399999999999999e-05,0.0,0.002
-3.39e-05,-0.002,0.002
-3.3799999999999995e-05,0.002,0.002
-3.369999999999999e-05,-0.002,0.002
-3.36e-05,-0.002,0.002
-3.3499999999999994e-05,0.002,0.002
