Tiempo,VoltajeCH1,ResolucionVCH1
-0.00224,0.002,0.002
-0.002238,0.002,0.002
-0.0022359999999999997,0.002,0.002
-0.002234,0.002,0.002
-0.0022319999999999996,0.002,0.002
-0.0022299999999999998,0.002,0.002
-0.002228,0.0,0.002
-0.0022259999999999997,0.002,0.002
-0.002224,0.002,0.002
-0.002222,0.0,0.002
-0.0022199999999999998,0.002,0.002
-0.002218,0.002,0.002
-0.0022159999999999997,0.002,0.002
-0.002214,0.0,0.002
-0.002212,0.002,0.002
-0.0022099999999999997,0.002,0.002
-0.002208,0.002,0.002
-0.0022059999999999996,0.002,0.002
-0.002204,0.002,0.002
-0.002202,0.002,0.002
-0.0021999999999999997,0.002,0.002
-0.002198,0.002,0.002
-0.0021959999999999996,0.002,0.002
-0.0021939999999999998,0.002,0.002
-0.002192,0.002,0.002
-0.0021899999999999997,0.002,0.002
-0.002188,0.002,0.002
-0.002186,0.0,0.002
-0.0021839999999999997,0.002,0.002
-0.002182,0.002,0.002
-0.0021799999999999996,0.0,0.002
-0.002178,0.0,0.002
-0.002176,0.002,0.002
-0.0021739999999999997,0.002,0.002
-0.002172,0.002,0.002
-0.0021699999999999996,0.002,0.002
-0.002168,0.002,0.002
-0.002166,0.002,0.002
-0.0021639999999999997,0.002,0.002
-0.002162,0.002,0.002
-0.0021599999999999996,0.002,0.002
-0.0021579999999999998,0.002,0.002
-0.002156,0.002,0.002
-0.0021539999999999997,0.0,0.002
-0.002152,0.0,0.002
-0.00215,0.002,0.002
-0.0021479999999999997,0.002,0.002
-0.002146,0.0,0.002
-0.0021439999999999996,0.002,0.002
-0.002142,0.002,0.002
-0.00214,0.002,0.002
-0.0021379999999999997,0.002,0.002
-0.002136,0.002,0.002
-0.0021339999999999996,0.0,0.002
-0.0021319999999999998,0.0,0.002
-0.00213,0.0,0.002
-0.0021279999999999997,0.002,0.002
-0.002126,0.002,0.002
-0.002124,0.0,0.002
-0.0021219999999999998,0.0,0.002
-0.00212,0.002,0.002
-0.0021179999999999997,0.002,0.002
-0.002116,0.002,0.002
-0.002114,0.002,0.002
-0.0021119999999999997,0.002,0.002
-0.00211,0.002,0.002
-0.0021079999999999996,0.002,0.002
-0.002106,0.002,0.002
-0.002104,0.002,0.002
-0.0021019999999999997,0.002,0.002
-0.0021,0.0,0.002
-0.002098,0.002,0.002
-0.0020959999999999998,0.002,0.002
-0.002094,0.0,0.002
-0.0020919999999999997,0.0,0.002
-0.00209,0.002,0.002
-0.002088,0.002,0.002
-0.0020859999999999997,0.0,0.002
-0.002084,0.002,0.002
-0.0020819999999999996,0.002,0.002
-0.00208,0.002,0.002
-0.002078,0.002,0.002
-0.0020759999999999997,0.002,0.002
-0.002074,0.002,0.002
-0.0020719999999999996,0.002,0.002
-0.00207,0.002,0.002
-0.002068,0.002,0.002
-0.0020659999999999997,0.002,0.002
-0.002064,0.002,0.002
-0.0020619999999999996,0.0,0.002
